id,Relative_Relief_751,SPI751,TWI_FINAL751,Flow_Accumulation_clean751,aspect751,slope751,Elevation1,Distance_to_River,Drainage_Density,Landslide
77,69.5760498,3.226997375,1.764537334,5.823622227,124.6465378,45.89269257,1154.996582,2292.01,4.2882,0
78,43.50817871,1.936222076,2.67147994,5.036158085,204.1302185,28.47735405,1149.340454,2207.64,2.9461,1
79,30.34240723,-30.93888855,17.58572197,7.21404171,124.2393265,13.78442383,810.0384521,496.16,2.0076,0
80,26.065979,-2.580362797,17.30289268,3.851317883,262.3739014,18.36572266,874.6154175,618.33,2.4939,0
81,11.39172363,0.301554114,3.754763126,6.336472511,289.4796143,15.70054722,810.0384521,2148.91,1.8845,0
82,31.78283691,2.582873106,3.01878953,5.926861763,258.6900635,17.54840088,883.3375854,2220.35,2.1557,0
83,57.19934082,1.871151686,2.022934675,5.772594452,303.4975891,24.18434715,1038.924805,2170.61,2.7752,1
84,40.16040039,0.347713441,1.989392281,2.768652678,230.1944275,22.04351044,1154.512695,2415.53,2.4277,1
85,38.44616699,-16.90543556,17.30371666,3.869277954,198.1100922,27.08722305,1283.277832,238.4,2.9493,1
86,47.78820801,1.821427107,1.854619384,3.874136209,198.8106842,30.34217072,1191.025024,2049.03,3.3108,1
87,20.7130127,-27.87913895,18.22790718,9.550261497,212.1946716,14.43057442,855.8425293,485.46,1.9213,0
88,38.64794922,2.378939152,1.385078549,2.894226789,136.2163391,24.06202507,1336.196533,2347.16,2.7093,0
89,33.56530762,-1.458992124,1.884488344,1.697529674,171.8698883,12.39233017,896.6575928,2140.45,1.8497,0
90,32.48425293,3.77884841,1.821016669,5.772594452,303.4975891,24.18434715,1038.924805,2170.61,2.7752,0
91,40.16040039,-1.259207845,1.545749307,2.378906012,204.4214478,25.86146355,1035.786011,2419.87,2.8279,1
92,21.73352051,0.221764356,2.096898794,3.016335964,236.4277496,15.70014095,903.0039062,2170.76,2.1584,1
93,27.09307861,-0.115920857,16.51268387,1.713124633,202.8099365,18.97982025,865.6130981,592.51,2.0911,0
94,22.76672363,2.261890888,2.784534693,5.659972191,285.5274963,16.5941925,837.2831421,2083.47,2.1627,0
95,50.84069824,-11.23847866,17.47285652,3.315573454,196.486618,29.98818207,1130.69751,200.73,3.3275,1
96,10.08184814,-0.450862914,17.83872414,6.474014282,177.7851562,9.301041603,801.8504639,409.11,1.5794,0
97,36.56237793,-6.993510246,17.18956947,3.136009693,166.7262115,22.25145531,1234.341187,489.13,2.7483,0
98,28.61901855,1.261899114,2.378779411,4.018090248,220.6012878,21.90547943,1099.992676,2205.81,2.7844,1
99,77.24731445,2.658363819,1.227903843,2.881559849,127.3222427,41.26728058,1460.617188,2355.76,4.0729,0
100,53.1630249,-2.860816956,16.93889046,2.600743771,150.9380188,31.83933449,887.6551514,642.41,3.4392,1
101,20.93450928,-11.52209663,17.0331974,2.939931631,171.5150452,19.18788147,974.7313232,517.24,2.6412,0
102,10.67047119,227.8259125,6.267930508,524.135437,226.0341949,6.764800072,763.2028809,1909.33,1.601,0
103,62.19793701,10.36147976,0.113445237,3.247006416,215.934967,35.48147583,1019.829773,2371.22,3.0424,0
104,24.74829102,0.009049993,5.132440567,1.077673197,137.721405,18.65704536,1072.373169,1960.33,2.1322,0
105,63.03491211,0.802864969,2.325968027,2.832772017,195.0538635,39.59493256,1079.039185,2443.89,3.9302,1
106,23.78723145,-10.90644073,17.19753838,3.2304914,275.0722656,17.80987358,1040.511719,609.54,1.9228,0
107,49.6973877,-16.161026,16.34861183,1.376524806,50.29123688,20.81661606,1089.554688,776.01,2.527,1
108,29.67456055,-175.9410706,18.29582405,9.382284164,192.8543854,19.85610008,919.6137085,751.51,2.439,1
109,22.88354492,-39.78964615,17.9204483,7.278857231,256.5546875,17.36478233,962.9995117,526.12,1.9911,1
110,10.61102295,0.097439125,2.525532961,1,102.2110291,8.914853096,1013.64447,2008.39,1.5369,0
111,62.61932373,-5.067296505,17.48318672,4.706606388,229.5429077,37.46010208,945.5718384,600.86,3.1215,1
112,36.77441406,0.623983383,2.593525887,2.904989481,244.5220642,22.84881973,933.161377,2043.63,2.8694,1
113,32.14758301,2.320482731,1.265540838,2.705196142,345.3892822,20.58629608,943.8948975,2562.28,2.2949,1
114,13.49487305,-3.494983435,17.06341934,3.138249159,258.9040833,11.62159824,936.409668,902.53,1.8891,0
115,7.432189941,-4.320664406,19.25746918,31.62296104,74.30583954,8.128151894,871.9666748,593.1,1.6062,1
116,19.50952148,6.355958939,-1.058234096,1.226825595,286.0162964,9.701444626,1148.914673,2768.36,1.8653,1
117,10.23010254,-3.738064528,16.63580132,1.866704941,244.2146759,7.338657379,1145.381592,943.59,1.3415,1
118,13.98937988,0.347468883,2.057842731,1.582728624,48.20977402,10.43527031,1157.664185,2110.53,1.686,0
119,42.20458984,0.775829494,4.368178368,7.963843346,205.1607361,28.55668831,1077.814453,2229.68,3.0273,0
120,61.00354004,-2.364157438,17.0054512,2.849495888,224.6280975,34.92206573,1136.889282,774.01,3.5361,1
121,45.62268066,-0.101032287,17.3949585,4.457365513,61.79621887,29.13142776,1110.755249,868.63,3.1866,1
122,13.53424072,35.17522049,3.999914408,40.37259293,24.63245392,9.956412315,950.0355225,2268.72,1.5162,1
123,79.64172363,-3.83988142,18.25285721,10.26164436,224.3854828,44.02930832,956.9260864,537.08,3.8672,1
124,23.68896484,-2.06549716,18.06277084,8.940402031,30.09178543,16.52558136,1106.447754,452.35,2.3441,1
125,35.9720459,32.36952591,2.621386528,2.953864098,303.6963501,15.07174397,921.5258789,2074.17,1.5628,0
126,26.90026855,-50.22861481,16.34068298,1.426459193,136.0158539,19.21854019,1163.704712,785.17,2.5749,1
127,57.4765625,-5.31160593,17.43580437,4.620948792,243.4821625,34.21396255,1187.612793,869.79,3.2515,0
128,69.74487305,0.457342267,2.632445812,2.484521389,27.20659256,38.9042244,1172.274902,2389.45,3.6398,0
129,26.56506348,18.98221016,-1.437239289,1.728074074,272.6886597,21.60111809,865.2800903,2374.47,2.2914,1
130,10.38537598,227.0140076,-0.247665286,7.70689106,95.34101868,8.030685425,1148.359253,2505.96,1.467,0
131,51.04162598,-5.917152882,17.52725983,4.823684692,241.2262878,31.68830109,947.5819092,660.23,3.3892,0
132,32.67303467,-26.05899239,18.61807442,13.58563805,279.6846924,24.32150459,993.2248535,452.17,2.7727,0
133,30.07037354,-10.32076931,18.14590263,9.1496315,84.34387207,22.8879509,1018.687012,448.84,2.6166,1
134,45.62261963,2.299413919,1.814837456,3.485835314,292.6268921,30.93594933,223.1444702,2210.64,3.1,1
135,41.54064941,6.12116003,0.387401611,3.034336329,246.2908783,27.00452805,503.7844849,2657.77,2.5175,0
136,39.70727539,-0.569545984,17.64427567,5.460986137,283.8151855,28.65724373,587.8136597,601.28,2.7537,0
137,26.06637573,1231.385742,3.582745075,63.94212723,128.6085968,16.84188271,509.3473511,2122.29,2.0256,1
138,30.82580566,1.054068923,3.921756744,7.199720383,176.5644989,25.09755707,615.3389893,2180.1,2.7645,0
139,31.53009033,-2.628214836,17.03599739,2.922087669,278.3276978,25.50806618,809.4834595,683.06,2.7157,0
140,48.25354004,-14.89944077,19.11064529,23.44417381,201.6462402,31.92964363,1034.74292,777.15,3.3486,0
141,81.07312012,21.03386116,2.267992735,13.71594524,224.4067841,38.75131226,854.8268433,2477.19,3.7248,0
142,43.85266113,24.47104263,3.201959848,19.81952286,156.5854187,27.16614914,1167.336548,2027.33,2.8288,0
143,38.40490723,9.453781128,2.73213172,12.54883671,231.1679688,24.11651039,968.0028687,2197.62,3.0593,0
144,32.11407471,-665.5421753,19.13547134,27.62721634,189.4182739,21.87834549,999.7885132,439.19,2.5286,1
145,53.52990723,-8.288613319,18.41361999,12.36239433,192.1530151,37.19600677,1225.720947,504.23,3.4346,1
